Gross Output by Industry,,,,,,,,,,,,,,,,,,,,,,,
[Millions of dollars],,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,
"Release Date: October 29, 2019",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Line,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
    87,      Food services and drinking places,306965,325301,342117,368408,384954,405537,426274,452160,475573,502320,521602,532891,529139,547653,579153,613975,639380,680029,734299,769552,808304,858929
    88,"  Other services, except government",352032,383544,402461,425860,442624,458377,468928,487777,497552,523411,534334,550536,521593,534956,548882,576265,584488,620820,642756,673585,693563,739668
    89,Government,1665150,1729765,1834753,1951093,2079171,2214828,2343155,2479671,2623273,2777074,2932868,3119994,3223803,3335116,3364387,3389762,3426379,3491561,3572270,3659856,3777945,3962231
    90,  Federal,541542,542131,563103,588151,619443,679495,751543,805637,852723,900473,939975,1022073,1076307,1143722,1147914,1143355,1097067,1094768,1099769,1114152,1136957,1201123
    91,    General government,465133,464486,482032,504560,535807,592258,664595,717996,764639,805088,840591,921250,979160,1047131,1054141,1046209,1003868,1000244,1005669,1020344,1045441,1109030
    92,      National defense,304866,300962,313270,321572,339792,374582,428318,466348,497159,522569,549978,606077,637328,675588,688109,676302,637602,625335,614121,615856,628085,665002
    93,      Nondefense,160267,163523,168762,182988,196015,217676,236276,251648,267480,282519,290613,315174,341831,371542,366032,369907,366266,374909,391548,404488,417357,444028
    94,    Government enterprises,76409,77645,81071,83591,83636,87238,86948,87641,88084,95384,99384,100823,97147,96591,93773,97146,93199,94524,94100,93808,91516,92093
    95,  State and local,1123608,1187635,1271650,1362942,1459728,1535332,1591613,1674034,1770550,1876601,1992893,2097921,2147496,2191394,2216473,2246407,2329311,2396793,2472500,2545704,2640988,2761108
    96,    General government,993509,1052851,1130474,1216056,1307538,1374829,1421157,1491635,1574762,1664643,1769533,1857458,1891044,1918193,1929958,1948071,2019805,2077310,2144624,2209548,2295168,2405731
    97,    Government enterprises,130099,134784,141176,146885,152189,160503,170456,182398,195788,211959,223361,240463,256452,273201,286515,298336,309506,319483,327877,336155,345820,355377
    98,Addenda:,,,,,,,,,,,,,,,,,,,,,,
    99,    Private goods-producing industries [1],5041816,5143366,5322612,5665995,5481206,5378184,5610806,6126455,6784184,7193567,7565756,7758239,6354488,6903897,7647027,7911559,8246367,8530576,8025797,7834344,8310313,8895896
    100,    Private services-producing industries [2],8686353,9343654,10114947,11006782,11327875,11585243,12187284,13084033,14105491,14960714,15739876,16110975,15341186,16183350,16988083,17885526,18618601,19717906,20578590,21344310,22407189,23735199
    101,    Information-communications-technology-producing industries [3],993709,1087193,1224497,1375449,1318705,1249543,1240064,1274481,1337464,1411655,1471748,1522628,1456424,1532264,1617629,1684899,1743031,1830592,1890154,1994314,2070665,2229587
Legend / Footnotes:,,,,,,,,,,,,,,,,,,,,,,,
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing.",,,,,,,,,,,,,,,,,,,,,,,
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government.",,,,,,,,,,,,,,,,,,,,,,,
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services.",,,,,,,,,,,,,,,,,,,,,,,
