"Cite as: CAIT Climate Data Explorer. 2015. Washington, DC: World Resources Institute. Available online at:Êhttp://cait.wri.org.Ê Please Note: CAIT data are derived from several sources. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2014, FAOSTAT Emissions Database. Any use of CO2Êemissions from fuel combustion data should be cited as CO2ÊEmissions from Fuel Combustion, ©OECD/IEA, 2014.",,,,,,,,,,,,,,,,,,,,,
,,Total GHG,,Emissions by Gas excluding LUCF,,,,Emissions by Gas including LUCF,,,Emissions by Sector,,,,,,Emissions by Energy Sub-Sector,,,,
Country,Year,Total GHG Emissions Excluding Land-Use Change and Forestry (MtCO2e),Total GHG Emissions Including Land-Use Change and Forestry (MtCO?e?),Total CO2 (excluding Land-Use Change and Forestry) (MtCO2),Total CH4 (MtCO2e),Total N2O (MtCO2e),Total F-Gas (MtCO2e),Total CO2 (including Land-Use Change and Forestry) (MtCO2),Total CH4 (including Land-Use Change and Forestry) (MtCO2e),Total N2O (including Land-Use Change and Forestry) (MtCO2e),Energy (MtCO2e),Industrial Processes (MtCO2e),Agriculture (MtCO2e),Waste (MtCO2e),Land-Use Change and Forestry (MtCO2),Bunker Fuels (MtCO2),Electricity/Heat (MtCO2),Manufacturing/Construction (MtCO2),Transportation (MtCO2),Other Fuel Combustion (MtCO2e),Fugitive Emissions (MtCO2e)
Algeria,1997,104.8665,106.4167,74.6757,25.7748,4.2021,0.2138,76.14316,25.83256468,4.227160056,87.2369,4.0591,6.9908,6.5897,1.5502,1.87,27.68,7.1,14.87,8.2017,29.3852
Algeria,1998,109.4997,111.0538,76.1473,28.2746,4.798,0.28,77.61516,28.33370889,4.824967278,90.2115,4.3236,7.7542,7.2204,1.554,1.75,27.74,7.22,15.31,8.8604,31.0811
Algeria,1999,115.7451,117.3051,79.9153,30.7578,4.7258,0.3461,81.38372,30.82171309,4.753584499,95.6642,4.3866,7.8331,7.8512,1.56,1.77,29.27,8.38,16.31,9.3191,32.3851
Algeria,2000,119.0905,121.0096,80.9427,33.069,4.6666,0.4122,82.411556,33.3829973,4.80290172,98.0067,4.849,7.7528,8.482,1.9191,1.94,29.13,8.45,16.68,9.5678,34.1789
Algeria,2001,116.7768,118.2522,77.1518,34.2267,4.8498,0.5484,78.618246,34.23298565,4.852483165,95.2069,4.9751,7.984,8.6008,1.4754,1.96,30.15,8.54,16.87,9.7694,29.8775
Algeria,2002,123.5349,125.0231,82.8558,35.282,4.7124,0.6847,84.322416,35.297064,4.71894461,101.5739,5.4492,7.7922,8.7197,1.4882,2.15,32.22,8.97,19.17,10.1509,31.0629
Algeria,2003,128.4537,129.9617,86.2931,36.4356,4.904,0.821,87.759806,36.46441236,4.916516055,106.0122,5.5752,8.0278,8.8385,1.508,1.87,32.48,9.34,21.55,10.9425,31.6997
Algeria,2004,131.2492,132.7304,86.9744,37.727,5.5906,0.9572,88.441194,37.73703071,5.5949675,106.7079,6.6979,8.8961,8.9573,1.4812,2.16,31.68,9.94,21.81,11.7841,31.4938
Algeria,2005,136.4943,138.0438,91.62,38.8589,4.922,1.0935,93.086914,38.91643906,4.946988945,111.4469,7.7216,8.2497,9.0762,1.5495,2.33,32.54,10.49,23.93,12.7757,31.7112
Algeria,2006,142.5102,144.1031,96.291,39.4431,5.2805,1.4955,97.756796,39.53178837,5.3190457,115.5779,9.0661,8.6771,9.1891,1.593,2.21,34.16,10.85,25.38,12.4866,32.7014
